INFO 2025-12-25 22:12:27,836 autoreload   34560 29464 Watching for file changes with StatReloader
INFO 2025-12-25 22:14:19,199 autoreload   27652 34492 Watching for file changes with StatReloader
INFO 2025-12-25 22:14:31,179 task_manager 34560 15088 Creating new thread for device kkkk
INFO 2025-12-25 22:14:31,179 task_manager 34560 26840 Device thread started for device kkkk
INFO 2025-12-25 22:14:31,179 task_manager 34560 15088 Added task task_1766672071179_1 to device kkkk queue
INFO 2025-12-25 22:14:31,179 task_manager 34560 26840 Executing task task_1766672071179_1 for device kkkk
INFO 2025-12-25 22:14:31,180 views        34560 15088 Task task_1766672071179_1 added to device kkkk queue. Current queue size: 0
INFO 2025-12-25 22:14:31,180 views        34560 26840 …Ë±∏√˚≥∆kkkk
INFO 2025-12-25 22:14:41,181 task_manager 34560 26840 Task task_1766672071179_1 completed successfully for device kkkk
INFO 2025-12-25 22:15:23,389 autoreload   34560 29464 D:\Project\RpaTikTok\rpa_tiktok\rpa_tiktok\settings.py changed, reloading.
INFO 2025-12-25 22:16:01,378 autoreload   32224 15044 Watching for file changes with StatReloader
INFO 2025-12-25 22:16:05,250 task_manager 32224 26900 Creating new thread for device kkkk
INFO 2025-12-25 22:16:05,251 task_manager 32224 27760 Device thread started for device kkkk
INFO 2025-12-25 22:16:05,251 task_manager 32224 26900 Added task task_1766672165250_1 to device kkkk queue
INFO 2025-12-25 22:16:05,251 views        32224 26900 Task task_1766672165250_1 added to device kkkk queue. Current queue size: 0
INFO 2025-12-25 22:16:05,251 task_manager 32224 27760 Executing task task_1766672165250_1 for device kkkk
INFO 2025-12-25 22:16:05,252 views        32224 27760 ËÆæÂ§áÂêçÁß∞kkkk
INFO 2025-12-25 22:16:15,253 task_manager 32224 27760 Task task_1766672165250_1 completed successfully for device kkkk
